model,split,paper_id,generation,failed_stated,n_stated,failed_implicit,n_implicit,failed_total,keep_stated_only,keep_norel_aware
qwen3_4b,dev,14510914,generation_1,4,7,5,14,9,False,False
qwen3_4b,dev,14510914,generation_2,4,7,4,14,8,False,False
qwen3_4b,dev,14510914,generation_3,5,7,4,14,9,False,False
qwen3_4b,dev,15018851,generation_1,3,7,4,8,7,False,False
qwen3_4b,dev,15018851,generation_2,3,7,4,8,7,False,False
qwen3_4b,dev,15018851,generation_3,3,7,4,8,7,False,False
qwen3_4b,dev,15041272,generation_1,6,8,5,13,11,False,False
qwen3_4b,dev,15041272,generation_2,5,8,4,13,9,False,False
qwen3_4b,dev,15041272,generation_3,4,8,4,13,8,False,False
qwen3_4b,dev,15069170,generation_1,1,6,4,15,5,False,False
qwen3_4b,dev,15069170,generation_2,1,6,4,15,5,False,False
qwen3_4b,dev,15069170,generation_3,1,6,4,15,5,False,False
qwen3_4b,dev,15086325,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,15086325,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,15086325,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,15096016,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,15096016,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,15096016,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,15579441,generation_1,3,5,6,10,9,False,False
qwen3_4b,dev,15579441,generation_2,1,5,6,10,7,False,False
qwen3_4b,dev,15579441,generation_3,4,5,4,10,8,False,False
qwen3_4b,dev,15754732,generation_1,2,9,4,19,6,False,False
qwen3_4b,dev,15754732,generation_2,1,9,3,19,4,False,False
qwen3_4b,dev,15754732,generation_3,0,9,3,19,3,True,False
qwen3_4b,dev,15867855,generation_1,0,4,1,6,1,True,False
qwen3_4b,dev,15867855,generation_2,0,4,1,6,1,True,False
qwen3_4b,dev,15867855,generation_3,0,4,1,6,1,True,False
qwen3_4b,dev,15951966,generation_1,0,2,0,1,0,True,True
qwen3_4b,dev,15951966,generation_2,0,2,0,1,0,True,True
qwen3_4b,dev,15951966,generation_3,0,2,0,1,0,True,True
qwen3_4b,dev,15991002,generation_1,0,4,1,2,1,True,False
qwen3_4b,dev,15991002,generation_2,0,4,1,2,1,True,False
qwen3_4b,dev,15991002,generation_3,1,4,1,2,2,False,False
qwen3_4b,dev,16000134,generation_1,1,5,1,10,2,False,False
qwen3_4b,dev,16000134,generation_2,1,5,7,10,8,False,False
qwen3_4b,dev,16000134,generation_3,1,5,6,10,7,False,False
qwen3_4b,dev,16018252,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,16018252,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,16018252,generation_3,1,1,0,0,1,False,False
qwen3_4b,dev,16051693,generation_1,1,5,2,6,3,False,False
qwen3_4b,dev,16051693,generation_2,1,5,2,6,3,False,False
qwen3_4b,dev,16051693,generation_3,1,5,3,6,4,False,False
qwen3_4b,dev,16152606,generation_1,0,4,0,6,0,True,True
