model,split,paper_id,generation,n_relations,n_rare,n_failed,min_prob,mean_prob,num_relations_meta,abstract_words,allowed,passed
qwen3_4b,dev,14510914,generation_1,7,0,4,0.0023289744276553,0.4823537039503987,7,176,0,False
qwen3_4b,dev,14510914,generation_2,7,0,4,0.0025011517573148,0.4880437892529049,7,189,0,False
qwen3_4b,dev,14510914,generation_3,7,0,5,0.0013260185951367,0.3301640437150906,7,246,0,False
qwen3_4b,dev,15018851,generation_1,7,0,3,0.0053794705308973,0.5624706141783723,7,155,0,False
qwen3_4b,dev,15018851,generation_2,7,0,3,0.0049149538390338,0.5618791073959853,7,161,0,False
qwen3_4b,dev,15018851,generation_3,7,0,3,0.0059574926272034,0.562303500449551,7,175,0,False
qwen3_4b,dev,15041272,generation_1,8,0,6,0.000293312157737,0.2517868197464849,8,200,0,False
qwen3_4b,dev,15041272,generation_2,8,0,5,0.0004063284432049,0.34545815809906344,8,181,0,False
qwen3_4b,dev,15041272,generation_3,8,0,4,0.0005229976377449,0.4173677725120796,8,179,0,False
qwen3_4b,dev,15069170,generation_1,6,0,1,0.0019013246055692,0.8047775718926763,6,190,0,False
qwen3_4b,dev,15069170,generation_2,6,0,1,0.0018932925304397,0.8150485473646162,6,159,0,False
qwen3_4b,dev,15069170,generation_3,6,0,1,0.002451762324199,0.8164623056460792,6,165,0,False
qwen3_4b,dev,15086325,generation_1,1,0,0,0.9954921007156372,0.9954921007156372,1,148,0,True
qwen3_4b,dev,15086325,generation_2,1,0,0,0.9778777360916138,0.9778777360916138,1,155,0,True
qwen3_4b,dev,15086325,generation_3,1,0,0,0.9956297874450684,0.9956297874450684,1,181,0,True
qwen3_4b,dev,15096016,generation_1,1,0,0,0.9800564646720886,0.9800564646720886,1,147,0,True
qwen3_4b,dev,15096016,generation_2,1,0,0,0.980124831199646,0.980124831199646,1,188,0,True
qwen3_4b,dev,15096016,generation_3,1,0,0,0.9775713086128236,0.9775713086128236,1,185,0,True
qwen3_4b,dev,15579441,generation_1,5,0,3,0.0106560355052351,0.4120378656312823,5,204,0,False
qwen3_4b,dev,15579441,generation_2,5,0,1,0.0862146019935607,0.7271084666252137,5,176,0,False
qwen3_4b,dev,15579441,generation_3,5,0,4,0.0002156909613404,0.24663016244885508,5,232,0,False
qwen3_4b,dev,15754732,generation_1,9,0,2,0.005404295399785,0.8128585122111771,9,164,1,False
qwen3_4b,dev,15754732,generation_2,9,0,1,0.0164018087089061,0.885800015181303,9,202,1,True
qwen3_4b,dev,15754732,generation_3,9,0,0,0.985041081905365,0.9938265747494168,9,179,1,True
qwen3_4b,dev,15867855,generation_1,4,0,0,0.9055843353271484,0.9696621894836426,4,127,0,True
qwen3_4b,dev,15867855,generation_2,4,0,0,0.9751670956611632,0.9864502251148224,4,169,0,True
qwen3_4b,dev,15867855,generation_3,4,0,0,0.950921356678009,0.9815112203359604,4,150,0,True
qwen3_4b,dev,15951966,generation_1,2,0,0,0.9901220202445984,0.9910653531551361,2,170,0,True
qwen3_4b,dev,15951966,generation_2,2,0,0,0.9935885667800904,0.9936405420303345,2,157,0,True
qwen3_4b,dev,15951966,generation_3,2,0,0,0.9904152154922484,0.991546869277954,2,168,0,True
qwen3_4b,dev,15991002,generation_1,4,0,0,0.5048255920410156,0.7783503085374832,4,136,0,True
qwen3_4b,dev,15991002,generation_2,4,0,0,0.794142484664917,0.9144831597805023,4,141,0,True
qwen3_4b,dev,15991002,generation_3,4,0,1,0.0386177897453308,0.7407455593347549,4,228,0,False
qwen3_4b,dev,16000134,generation_1,5,0,1,0.0866391435265541,0.5982902839779853,5,199,0,False
qwen3_4b,dev,16000134,generation_2,5,0,1,0.1551215946674347,0.7733621656894684,5,172,0,False
qwen3_4b,dev,16000134,generation_3,5,0,1,0.2632560431957245,0.7276485145092011,5,161,0,False
qwen3_4b,dev,16018252,generation_1,1,0,0,0.5410305857658386,0.5410305857658386,1,171,0,True
qwen3_4b,dev,16018252,generation_2,1,0,0,0.8962177634239197,0.8962177634239197,1,202,0,True
qwen3_4b,dev,16018252,generation_3,1,0,1,0.0836210399866104,0.0836210399866104,1,184,0,False
qwen3_4b,dev,16051693,generation_1,5,0,1,0.0008952905773185,0.7677067099022679,5,248,0,False
qwen3_4b,dev,16051693,generation_2,5,0,1,0.0008930609328672,0.7795976886292919,5,175,0,False
qwen3_4b,dev,16051693,generation_3,5,0,1,0.0013169508893042,0.7741271706763655,5,202,0,False
qwen3_4b,dev,16152606,generation_1,4,0,0,0.9909007549285888,0.9911664575338364,4,172,0,True
qwen3_4b,dev,16152606,generation_2,4,0,0,0.9915919303894044,0.9921673238277436,4,126,0,True
