model,split,paper_id,generation,n_relations,n_failed,min_prob,mean_prob,abstract_words,n_rare,error_rate,L0_strict,L1_rate10,L2_rate20,L3_rate33,L4_rate50,L5_unfiltered,D_dynamic
qwen3_4b,dev,14510914,generation_1,7,4,0.0023289744276553,0.4823537039503987,176,0,0.5714285714285714,False,False,False,False,False,True,False
qwen3_4b,dev,14510914,generation_2,7,4,0.0025011517573148,0.4880437892529049,189,0,0.5714285714285714,False,False,False,False,False,True,False
qwen3_4b,dev,14510914,generation_3,7,5,0.0013260185951367,0.3301640437150906,246,0,0.7142857142857143,False,False,False,False,False,True,False
qwen3_4b,dev,15018851,generation_1,7,3,0.0053794705308973,0.5624706141783723,155,0,0.42857142857142855,False,False,False,False,True,True,False
qwen3_4b,dev,15018851,generation_2,7,3,0.0049149538390338,0.5618791073959853,161,0,0.42857142857142855,False,False,False,False,True,True,False
qwen3_4b,dev,15018851,generation_3,7,3,0.0059574926272034,0.562303500449551,175,0,0.42857142857142855,False,False,False,False,True,True,False
qwen3_4b,dev,15041272,generation_1,8,6,0.000293312157737,0.2517868197464849,200,0,0.75,False,False,False,False,False,True,False
qwen3_4b,dev,15041272,generation_2,8,5,0.0004063284432049,0.34545815809906344,181,0,0.625,False,False,False,False,False,True,False
qwen3_4b,dev,15041272,generation_3,8,4,0.0005229976377449,0.4173677725120796,179,0,0.5,False,False,False,False,True,True,False
qwen3_4b,dev,15069170,generation_1,6,1,0.0019013246055692,0.8047775718926763,190,0,0.16666666666666666,False,False,True,True,True,True,False
qwen3_4b,dev,15069170,generation_2,6,1,0.0018932925304397,0.8150485473646162,159,0,0.16666666666666666,False,False,True,True,True,True,False
qwen3_4b,dev,15069170,generation_3,6,1,0.002451762324199,0.8164623056460792,165,0,0.16666666666666666,False,False,True,True,True,True,False
qwen3_4b,dev,15086325,generation_1,1,0,0.9954921007156372,0.9954921007156372,148,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15086325,generation_2,1,0,0.9778777360916138,0.9778777360916138,155,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15086325,generation_3,1,0,0.9956297874450684,0.9956297874450684,181,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15096016,generation_1,1,0,0.9800564646720886,0.9800564646720886,147,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15096016,generation_2,1,0,0.980124831199646,0.980124831199646,188,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15096016,generation_3,1,0,0.9775713086128236,0.9775713086128236,185,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15579441,generation_1,5,3,0.0106560355052351,0.4120378656312823,204,0,0.6,False,False,False,False,False,True,False
qwen3_4b,dev,15579441,generation_2,5,1,0.0862146019935607,0.7271084666252137,176,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,15579441,generation_3,5,4,0.0002156909613404,0.24663016244885508,232,0,0.8,False,False,False,False,False,True,False
qwen3_4b,dev,15754732,generation_1,9,2,0.005404295399785,0.8128585122111771,164,0,0.2222222222222222,False,False,False,True,True,True,False
qwen3_4b,dev,15754732,generation_2,9,1,0.0164018087089061,0.885800015181303,202,0,0.1111111111111111,False,False,True,True,True,True,True
qwen3_4b,dev,15754732,generation_3,9,0,0.985041081905365,0.9938265747494168,179,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15867855,generation_1,4,0,0.9055843353271484,0.9696621894836426,127,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15867855,generation_2,4,0,0.9751670956611632,0.9864502251148224,169,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15867855,generation_3,4,0,0.950921356678009,0.9815112203359604,150,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15951966,generation_1,2,0,0.9901220202445984,0.9910653531551361,170,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15951966,generation_2,2,0,0.9935885667800904,0.9936405420303345,157,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15951966,generation_3,2,0,0.9904152154922484,0.991546869277954,168,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15991002,generation_1,4,0,0.5048255920410156,0.7783503085374832,136,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15991002,generation_2,4,0,0.794142484664917,0.9144831597805023,141,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,15991002,generation_3,4,1,0.0386177897453308,0.7407455593347549,228,0,0.25,False,False,False,True,True,True,False
qwen3_4b,dev,16000134,generation_1,5,1,0.0866391435265541,0.5982902839779853,199,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,16000134,generation_2,5,1,0.1551215946674347,0.7733621656894684,172,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,16000134,generation_3,5,1,0.2632560431957245,0.7276485145092011,161,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,16018252,generation_1,1,0,0.5410305857658386,0.5410305857658386,171,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,16018252,generation_2,1,0,0.8962177634239197,0.8962177634239197,202,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,16018252,generation_3,1,1,0.0836210399866104,0.0836210399866104,184,0,1.0,False,False,False,False,False,True,False
qwen3_4b,dev,16051693,generation_1,5,1,0.0008952905773185,0.7677067099022679,248,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,16051693,generation_2,5,1,0.0008930609328672,0.7795976886292919,175,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,16051693,generation_3,5,1,0.0013169508893042,0.7741271706763655,202,0,0.2,False,False,True,True,True,True,False
qwen3_4b,dev,16152606,generation_1,4,0,0.9909007549285888,0.9911664575338364,172,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,16152606,generation_2,4,0,0.9915919303894044,0.9921673238277436,126,0,0.0,True,True,True,True,True,True,True
qwen3_4b,dev,16152606,generation_3,4,0,0.9893600940704346,0.9900003373622894,153,0,0.0,True,True,True,True,True,True,True
