model,split,paper_id,generation,rel_idx,num_relations,num_entities,abstract_words,entity_a,type_a,relation_type,entity_b,type_b,prob_supported
qwen3_4b,dev,14510914,generation_1,0,7,33,176,inability of the thyroid,DiseaseOrPhenotypicFeature,Association,iodide,ChemicalEntity,0.12196127325296402
qwen3_4b,dev,14510914,generation_1,1,7,33,176,Iodide transport defect,DiseaseOrPhenotypicFeature,Association,iodide,ChemicalEntity,0.9692056775093079
qwen3_4b,dev,14510914,generation_1,2,7,33,176,Iodide transport defect,DiseaseOrPhenotypicFeature,Negative_Correlation,sodium/iodide symporter,GeneOrGeneProduct,0.0023289744276553392
qwen3_4b,dev,14510914,generation_1,3,7,33,176,L-thyroxine,ChemicalEntity,Negative_Correlation,hypothyroidism,DiseaseOrPhenotypicFeature,0.06797314435243607
qwen3_4b,dev,14510914,generation_1,4,7,33,176,iodide,ChemicalEntity,Association,sodium/iodide symporter,GeneOrGeneProduct,0.9969148635864258
qwen3_4b,dev,14510914,generation_1,5,7,33,176,hypothyroidism,DiseaseOrPhenotypicFeature,Negative_Correlation,iodide,ChemicalEntity,0.22046324610710144
qwen3_4b,dev,14510914,generation_1,6,7,33,176,Congenital hypothyroidism,DiseaseOrPhenotypicFeature,Association,sodium/iodide symporter,GeneOrGeneProduct,0.9976287484169006
qwen3_4b,dev,14510914,generation_2,0,7,33,189,inability of the thyroid,DiseaseOrPhenotypicFeature,Association,iodide,ChemicalEntity,0.20255550742149353
qwen3_4b,dev,14510914,generation_2,1,7,33,189,Iodide transport defect,DiseaseOrPhenotypicFeature,Association,iodide,ChemicalEntity,0.08006788045167923
qwen3_4b,dev,14510914,generation_2,2,7,33,189,Iodide transport defect,DiseaseOrPhenotypicFeature,Negative_Correlation,sodium/iodide symporter,GeneOrGeneProduct,0.002501151757314801
qwen3_4b,dev,14510914,generation_2,3,7,33,189,L-thyroxine,ChemicalEntity,Negative_Correlation,hypothyroidism,DiseaseOrPhenotypicFeature,0.2744933068752289
qwen3_4b,dev,14510914,generation_2,4,7,33,189,iodide,ChemicalEntity,Association,sodium/iodide symporter,GeneOrGeneProduct,0.9973504543304443
qwen3_4b,dev,14510914,generation_2,5,7,33,189,hypothyroidism,DiseaseOrPhenotypicFeature,Negative_Correlation,iodide,ChemicalEntity,0.861533522605896
qwen3_4b,dev,14510914,generation_2,6,7,33,189,Congenital hypothyroidism,DiseaseOrPhenotypicFeature,Association,sodium/iodide symporter,GeneOrGeneProduct,0.9978047013282776
qwen3_4b,dev,14510914,generation_3,0,7,33,246,inability of the thyroid,DiseaseOrPhenotypicFeature,Association,iodide,ChemicalEntity,0.03541485220193863
qwen3_4b,dev,14510914,generation_3,1,7,33,246,Iodide transport defect,DiseaseOrPhenotypicFeature,Association,iodide,ChemicalEntity,0.1319195032119751
qwen3_4b,dev,14510914,generation_3,2,7,33,246,Iodide transport defect,DiseaseOrPhenotypicFeature,Negative_Correlation,sodium/iodide symporter,GeneOrGeneProduct,0.001326018595136702
qwen3_4b,dev,14510914,generation_3,3,7,33,246,L-thyroxine,ChemicalEntity,Negative_Correlation,hypothyroidism,DiseaseOrPhenotypicFeature,0.10948307812213898
qwen3_4b,dev,14510914,generation_3,4,7,33,246,iodide,ChemicalEntity,Association,sodium/iodide symporter,GeneOrGeneProduct,0.9971189498901367
qwen3_4b,dev,14510914,generation_3,5,7,33,246,hypothyroidism,DiseaseOrPhenotypicFeature,Negative_Correlation,iodide,ChemicalEntity,0.038176629692316055
qwen3_4b,dev,14510914,generation_3,6,7,33,246,Congenital hypothyroidism,DiseaseOrPhenotypicFeature,Association,sodium/iodide symporter,GeneOrGeneProduct,0.9977092742919922
qwen3_4b,dev,15096016,generation_1,0,1,14,147,levodopa,ChemicalEntity,Positive_Correlation,dyskinesias,DiseaseOrPhenotypicFeature,0.9800564646720886
qwen3_4b,dev,15096016,generation_2,0,1,14,188,levodopa,ChemicalEntity,Positive_Correlation,dyskinesias,DiseaseOrPhenotypicFeature,0.980124831199646
qwen3_4b,dev,15096016,generation_3,0,1,14,185,levodopa,ChemicalEntity,Positive_Correlation,dyskinesias,DiseaseOrPhenotypicFeature,0.9775713086128235
qwen3_4b,dev,16152606,generation_1,0,4,32,172,NBS1,GeneOrGeneProduct,Association,cancer,DiseaseOrPhenotypicFeature,0.9914194345474243
qwen3_4b,dev,16152606,generation_1,1,4,32,172,NBS1,GeneOrGeneProduct,Association,non-Hodgkin lymphoma,DiseaseOrPhenotypicFeature,0.9912043213844299
qwen3_4b,dev,16152606,generation_1,2,4,32,172,NBS1,GeneOrGeneProduct,Association,acute lymphoblastic leukemia,DiseaseOrPhenotypicFeature,0.9909007549285889
qwen3_4b,dev,16152606,generation_1,3,4,32,172,NBS1,GeneOrGeneProduct,Association,sporadic lymphoid malignancies,DiseaseOrPhenotypicFeature,0.9911413192749023
qwen3_4b,dev,16152606,generation_2,0,4,32,126,NBS1,GeneOrGeneProduct,Association,cancer,DiseaseOrPhenotypicFeature,0.9929744005203247
qwen3_4b,dev,16152606,generation_2,1,4,32,126,NBS1,GeneOrGeneProduct,Association,non-Hodgkin lymphoma,DiseaseOrPhenotypicFeature,0.9915919303894043
qwen3_4b,dev,16152606,generation_2,2,4,32,126,NBS1,GeneOrGeneProduct,Association,acute lymphoblastic leukemia,DiseaseOrPhenotypicFeature,0.9923446774482727
qwen3_4b,dev,16152606,generation_2,3,4,32,126,NBS1,GeneOrGeneProduct,Association,sporadic lymphoid malignancies,DiseaseOrPhenotypicFeature,0.9917582869529724
qwen3_4b,dev,16152606,generation_3,0,4,32,153,NBS1,GeneOrGeneProduct,Association,cancer,DiseaseOrPhenotypicFeature,0.9911476373672485
qwen3_4b,dev,16152606,generation_3,1,4,32,153,NBS1,GeneOrGeneProduct,Association,non-Hodgkin lymphoma,DiseaseOrPhenotypicFeature,0.9893600940704346
qwen3_4b,dev,16152606,generation_3,2,4,32,153,NBS1,GeneOrGeneProduct,Association,acute lymphoblastic leukemia,DiseaseOrPhenotypicFeature,0.989751935005188
qwen3_4b,dev,16152606,generation_3,3,4,32,153,NBS1,GeneOrGeneProduct,Association,sporadic lymphoid malignancies,DiseaseOrPhenotypicFeature,0.9897416830062866
qwen3_4b,dev,16277682,generation_1,0,4,38,199,p62,GeneOrGeneProduct,Association,polyostotic disease,DiseaseOrPhenotypicFeature,0.9958513975143433
qwen3_4b,dev,16277682,generation_1,1,4,38,199,p62,GeneOrGeneProduct,Association,Paget's disease of bone,DiseaseOrPhenotypicFeature,0.9960935711860657
qwen3_4b,dev,16277682,generation_1,2,4,38,199,M404V,SequenceVariant,Association,polyostotic disease,DiseaseOrPhenotypicFeature,0.9902358651161194
qwen3_4b,dev,16277682,generation_1,3,4,38,199,Paget's disease of bone,DiseaseOrPhenotypicFeature,Positive_Correlation,M404V,SequenceVariant,0.028379026800394058
qwen3_4b,dev,16277682,generation_2,0,4,38,197,p62,GeneOrGeneProduct,Association,polyostotic disease,DiseaseOrPhenotypicFeature,0.9952152967453003
qwen3_4b,dev,16277682,generation_2,1,4,38,197,p62,GeneOrGeneProduct,Association,Paget's disease of bone,DiseaseOrPhenotypicFeature,0.9952385425567627
qwen3_4b,dev,16277682,generation_2,2,4,38,197,M404V,SequenceVariant,Association,polyostotic disease,DiseaseOrPhenotypicFeature,0.9841780066490173
qwen3_4b,dev,16277682,generation_2,3,4,38,197,Paget's disease of bone,DiseaseOrPhenotypicFeature,Positive_Correlation,M404V,SequenceVariant,0.0047860462218523026
qwen3_4b,dev,16277682,generation_3,0,4,38,184,p62,GeneOrGeneProduct,Association,polyostotic disease,DiseaseOrPhenotypicFeature,0.9956633448600769
qwen3_4b,dev,16277682,generation_3,1,4,38,184,p62,GeneOrGeneProduct,Association,Paget's disease of bone,DiseaseOrPhenotypicFeature,0.9957180619239807
qwen3_4b,dev,16277682,generation_3,2,4,38,184,M404V,SequenceVariant,Association,polyostotic disease,DiseaseOrPhenotypicFeature,0.9909709692001343
qwen3_4b,dev,16277682,generation_3,3,4,38,184,Paget's disease of bone,DiseaseOrPhenotypicFeature,Positive_Correlation,M404V,SequenceVariant,0.02126067318022251
qwen3_4b,dev,1671881,generation_1,0,6,10,171,phenylketonuria,DiseaseOrPhenotypicFeature,Positive_Correlation,272gly----stop,SequenceVariant,0.09899701923131943
qwen3_4b,dev,1671881,generation_1,1,6,10,171,phenylketonuria,DiseaseOrPhenotypicFeature,Positive_Correlation,273ser----phe,SequenceVariant,0.9749506711959839
qwen3_4b,dev,1671881,generation_1,2,6,10,171,PAH,GeneOrGeneProduct,Association,phenylketonuria,DiseaseOrPhenotypicFeature,0.9959754347801208
qwen3_4b,dev,1671881,generation_1,3,6,10,171,PAH,GeneOrGeneProduct,Negative_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.0004943963140249252
qwen3_4b,dev,1671881,generation_1,4,6,10,171,272gly----stop,SequenceVariant,Positive_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.9588406085968018
